#SamplesFile  ReferenceValue  ForceConstant 
samples.1.dat      -0.70       200.0
samples.2.dat      -0.65       200.0
samples.3.dat      -0.60       200.0
samples.4.dat      -0.55       200.0
samples.5.dat      -0.50       200.0
samples.6.dat      -0.45       200.0
samples.7.dat      -0.40       200.0
samples.8.dat      -0.35       200.0
samples.9.dat      -0.30       200.0
samples.10.dat      -0.25       200.0
samples.11.dat      -0.20       200.0
samples.12.dat      -0.15       200.0
samples.13.dat      -0.10       200.0
samples.14.dat      -0.05       200.0
samples.15.dat      0.00       200.0
samples.16.dat      0.05       200.0
samples.17.dat      0.10       200.0
samples.18.dat      0.15       200.0
samples.19.dat      0.20       200.0
samples.20.dat      0.25       200.0
samples.21.dat      0.30       200.0
samples.22.dat      0.35       200.0
samples.23.dat      0.40       200.0
samples.24.dat      0.45       200.0
samples.25.dat      0.50       200.0
samples.26.dat      0.55       200.0
samples.27.dat      0.60       200.0
samples.28.dat      0.65       200.0
samples.29.dat      0.70       200.0
